row1,row2,row3,row4,row5
39.765,61.974,49.116,98.257,39.836
17.807,63.734,77.89,42.989,34.118
60.773,78.374,30.569,81.741,25.595
93.595,80.359,8.917,13.898,63.927
32.753,51.49,21.208,71.139,86.566
40.095,33.315,35.285,64.109,63.314
22.353,56.237,53.043,26.098,66.377
3.748,86.25,43.815,13.613,95.699
86.384,70.958,36.108,34.371,67.863
21.923,96.298,7.348,52.789,53.525
94.17,41.767,84.59,8.32,27.025
56.678,98.974,47.716,8.437,99.16
82.14,38.983,10.205,90.33,11.064
70.442,76.169,43.986,96.74,92.048
51.474,96.682,73.766,61.426,43.427
